Species
Myosurus minimus
Myosurus apetalus
Delphinium nuttallianum
Clematis hirsutissima
Anemone multifida
Aquilegia flavescens
Anemone patens
Actaea rubra
Aconitum columbianum
Rumex fueginus
Polygonum polygaloides
Polygonum amphibium
Polygonum achoreum
Oxyria digyna
Eriogonum flavum
Eriogonum caespitosum
Androsace occidentalis
Potamogeton gramineus
Claytonia multiscapa
Polemonium pulcherrimum
Polemonium occidentale
Equisetum laevigatum
Chamaenerion angustifolium
Potentilla hippiana
Carex vallicola
Symphyotrichum eatonii
Symphyotrichum ascendens
Stenotus acaulis
Sonchus arvensis
Epilobium lactiflorum
Senecio vulgaris
Epilobium hornemannii
Oxytropis sericea
Oreostemma alpigena
Matricaria matricarioides
Bromus porteri
Ionactis alpina
Hieracium praealtum
Helianthella uniflora
